currency,city,meal,mcmeal,beer restaurant,milk,rice,potato,water,cigarettes,coffee,ticket,rent,country,latitude,longitude,group,cityproper,overall_rank
€,Cordoba,"['Meal, Inexpensive Restaurant ', 8.14, 51]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 6.72, 48]","['Domestic Beer (0.5 liter draught) ', 1.54, 67]","['Milk (regular), (1 liter) ', 1.19, 43]","['Rice (white), (1kg) ', 1.21, 112]","['Potato (1kg) ', 1.11, 74]","['Water (1.5 liter bottle) ', 1.92, 5]","['Cigarettes 20 Pack (Marlboro) ', 1.81, 75]","['Cappuccino (regular) ', 1.66, 112]","['One-way Ticket (Local Transport) ', 0.59, 71]","['Apartment (3 bedrooms) in City Centre ', 463.41, 160]",Spain,37.8881751,-4.7793835,2,Cordoba,171
€,Cork,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.1, 24]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.31, 35]","['Rice (white), (1kg) ', 1.81, 84]","['Potato (1kg) ', 2.16, 15]","['Cost of Living in Waterford', 120.63, 2]","['Cigarettes 20 Pack (Marlboro) ', 16.45, 6]","['Cappuccino (regular) ', 3.74, 26]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 2636.11, 15]", Ireland,51.8985143,-8.4756035,1,Cork,19
€,Darmstadt,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.1, 50]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.45, 52]","['Water (1.5 liter bottle) ', 1.16, 27]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.44, 43]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 2400.0, 20]", Germany,49.8728253,8.6511929,2,Darmstadt,36
€,Delft,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 12.0, 7]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.16, 46]","['Rice (white), (1kg) ', 2.66, 35]","['Potato (1kg) ', 1.84, 24]","['Cost of Living in Wateringen', 9.16, 3]","['Cigarettes 20 Pack (Marlboro) ', 12.25, 15]","['Cappuccino (regular) ', 3.3, 52]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 2209.83, 29]", Netherlands,52.0115769,4.3570677,2,Delft,37
€,Dijon France,"['Meal, Inexpensive Restaurant ', 16.5, 14]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 0.96, 64]","['Rice (white), (1kg) ', 2.48, 49]","['Potato (1kg) ', 1.8, 28]","['Water (1.5 liter bottle) ', 0.8, 51]","['Cigarettes 20 Pack (Marlboro) ', 10.0, 21]","['Cappuccino (regular) ', 3.5, 40]","['One-way Ticket (Local Transport) ', 1.4, 53]","['Apartment (3 bedrooms) in City Centre ', 874.67, 148]", France,47.322047,5.04148,2,Dijon,93
€,Dortmund,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 5.5, 24]","['Milk (regular), (1 liter) ', 1.0, 60]","['Rice (white), (1kg) ', 2.81, 21]","['Potato (1kg) ', 2.1, 17]","['Water (1.5 liter bottle) ', 0.84, 47]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.47, 42]","['One-way Ticket (Local Transport) ', 3.3, 17]","['Apartment (3 bedrooms) in City Centre ', 1416.67, 84]",Germany,51.5135872,7.4652981,2,Dortmund,46
€,Dresden,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.5, 21]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.04, 56]","['Rice (white), (1kg) ', 2.67, 34]","['Potato (1kg) ', 1.48, 49]","['Water (1.5 liter bottle) ', 0.78, 53]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.4, 45]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1295.0, 100]",Germany,51.0504088,13.7372621,2,Dresden,85
€,Dublin,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.75, 10]","['Milk (regular), (1 liter) ', 1.31, 35]","['Rice (white), (1kg) ', 1.63, 93]","['Potato (1kg) ', 1.95, 20]","['Water (1.5 liter bottle) ', 1.73, 9]","['Cigarettes 20 Pack (Marlboro) ', 16.62, 4]","['Cappuccino (regular) ', 4.04, 14]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 3524.36, 5]",Ireland,53.3498053,-6.2603097,1,Dublin,11
€,Duisburg Germany,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 4.35, 36]","['Milk (regular), (1 liter) ', 0.99, 61]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.69, 33]","['Water (1.5 liter bottle) ', 0.9, 41]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.38, 47]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 950.0, 142]",Germany,51.4344079,6.7623293,2,Duisburg,102
€,Durham,"['Meal, Inexpensive Restaurant ', 13.56, 21]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.49, 22]","['Domestic Beer (0.5 liter draught) ', 5.43, 25]","['Milk (regular), (1 liter) ', 0.7, 73]","['Rice (white), (1kg) ', 5.35, 1]","['Potato (1kg) ', 3.86, 1]","['Water (1.5 liter bottle) ', 0.9, 41]","['Cigarettes 20 Pack (Marlboro) ', 7.69, 31]","['Cappuccino (regular) ', 4.26, 10]","['One-way Ticket (Local Transport) ', 0.45, 75]","['Apartment (3 bedrooms) in City Centre ', 2326.82, 21]", United Kingdom,54.77525,-1.584852,1,Durham,39
